t, Ue, U1, U2, U3, U4, U5
7.007007007007006946e-03, -3.809631131537806192e-01, -3.058474223616011178e-01, 2.656748474679424099e+00, 2.532884352841380249e+00, 5.382584720426395464e+00, -4.183067605381277643e-01
7.207207207207207318e-03, -3.932502871182816939e-01, -3.192986937746681853e-01, 2.658239691088537082e+00, 2.520414406867775181e+00, 5.009404895235400446e+00, -7.870761194248442338e-01
7.407407407407407690e-03, -3.993232633085073147e-01, -3.276607644348046300e-01, 2.664470298375096302e+00, 2.516966893529598792e+00, 4.602774905008849338e+00, -1.186369349597019784e+00
7.607607607607608062e-03, -3.990860756785046259e-01, -3.306451395600991106e-01, 2.675525118453827567e+00, 2.521953102876952624e+00, 4.256950510383375352e+00, -1.522103017576053041e+00
7.807807807807808434e-03, -3.925424723014237505e-01, -3.282108537438980234e-01, 2.691264803757555502e+00, 2.533689947290682642e+00, 3.978324432865215421e+00, -1.788421154365574139e+00
8.008008008008007939e-03, -3.797958561419253476e-01, -3.204586754024488227e-01, 2.711410819525235993e+00, 2.550872082693433462e+00, 3.740703363497841938e+00, -2.011933028189258899e+00
8.208208208208209178e-03, -3.610476510676135509e-01, -3.075514565806960476e-01, 2.735626257826029306e+00, 2.572710998592492082e+00, 3.528041156477905727e+00, -2.208932748684194536e+00
8.408408408408408682e-03, -3.365941189200200023e-01, -2.897109019584526712e-01, 2.763526925534709022e+00, 2.598648458213523860e+00, 3.335604653543687181e+00, -2.384327084911995964e+00
8.608608608608608187e-03, -3.068216779422395790e-01, -2.672266871686553302e-01, 2.794677994209566307e+00, 2.628175933806049969e+00, 3.163524012794495910e+00, -2.538144405365378553e+00
8.808808808808809426e-03, -2.722007965421007203e-01, -2.404585036175070634e-01, 2.828595482917179549e+00, 2.660770134885611427e+00, 3.013318618588509690e+00, -2.669030012273495345e+00
9.009009009009008931e-03, -2.332785588825093126e-01, -2.098326363722005927e-01, 2.864752047560460202e+00, 2.695878370748451491e+00, 2.886685115125279921e+00, -2.775462993028089631e+00
9.209209209209210170e-03, -1.906700197785708706e-01, -1.758358856547588833e-01, 2.902584797143591633e+00, 2.732919968342148564e+00, 2.785128411358073208e+00, -2.856124814097208642e+00
