t, x, y, phi, u, v, omega, La, x_dot, y_dot, phi_dot, u_dot, v_dot, omega_dot, la
7.558297040835526559e+00, 1.159753217852683704e+00, 6.101268127376699368e+01, 2.895121790122455963e+00, -3.531350004666972353e+00, 8.884384663066707821e-01, 3.830389007577845728e-01, -7.349640757990880502e+01, -3.531350004666972353e+00, 8.884384663066707821e-01, 3.830389007577845728e-01, 5.036444436583993323e+00, -2.704180872480483888e+00, 0.000000000000000000e+00, -3.485561602537818882e+00
7.768301207208478054e+00, 5.321624708071499565e-01, 6.114567920991814276e+01, 2.975561555164506267e+00, -2.432689404702598868e+00, 4.076548675865799276e-01, 3.830389007577845728e-01, -7.411089724510712529e+01, -2.432689404702598868e+00, 4.076548675865799276e-01, 3.830389007577845728e-01, 5.404532157537062176e+00, -1.863342272353468720e+00, 0.000000000000000000e+00, -2.361654096951691706e+00
8.061047846471984357e+00, 5.657048366061356859e-02, 6.120276451246750327e+01, 3.087694906068535694e+00, -8.028533028699220697e-01, 4.331402994793456113e-02, 3.830389007577845728e-01, -7.456981182653620976e+01, -8.028533028699220697e-01, 4.331402994793456113e-02, 3.830389007577845728e-01, 5.683641925527746608e+00, -6.142455612764232686e-01, 0.000000000000000000e+00, -7.689233275712431537e-01
8.381818238078983185e+00, 9.255782661826980617e-02, 6.120905394527985521e+01, 3.210562444265324444e+00, 1.026101908059588785e+00, 7.088248504450431198e-02, 3.830389007577845728e-01, -7.453528506619420568e+01, 1.026101908059588785e+00, 7.088248504450431198e-02, 3.830389007577845728e-01, 5.662404028080655571e+00, 7.871303126828413932e-01, 0.000000000000000000e+00, 9.862576965093861059e-01
8.666652043995503263e+00, 6.113019822162333305e-01, 6.127767195706996972e+01, 3.319664872182244597e+00, 2.601867162258107768e+00, 4.682805991303511939e-01, 3.830389007577845728e-01, -7.403397788287819026e+01, 2.601867162258107768e+00, 4.682805991303511939e-01, 3.830389007577845728e-01, 5.357910372585990899e+00, 1.993957371463155548e+00, 0.000000000000000000e+00, 2.532492877641450590e+00
9.013433306911856846e+00, 1.823286631206687547e+00, 6.158763897344888960e+01, 3.452495585933121003e+00, 4.346880254181566094e+00, 1.396754786249049252e+00, 3.830389007577845728e-01, -7.283516988049032648e+01, 4.346880254181566094e+00, 1.396754786249049252e+00, 3.830389007577845728e-01, 4.646361754006337108e+00, 3.331282656795252706e+00, 0.000000000000000000e+00, 4.373792327849972850e+00
9.426224467495497805e+00, 3.980491971334746637e+00, 6.248708803545703461e+01, 3.610610658325608568e+00, 6.017668556508732003e+00, 3.049339956844123734e+00, 3.830389007577845728e-01, -7.059476527877836816e+01, 6.017668556508732003e+00, 3.049339956844123734e+00, 3.830389007577845728e-01, 3.379817789766178748e+00, 4.611836243698490989e+00, 0.000000000000000000e+00, 6.462683870636957373e+00
9.874356538969005115e+00, 6.960687982779675487e+00, 6.435058086810946065e+01, 3.782262674377129930e+00, 7.151960521826129735e+00, 5.332399946164321669e+00, 3.830389007577845728e-01, -6.722485094249087467e+01, 7.151960521826129735e+00, 5.332399946164321669e+00, 3.830389007577845728e-01, 1.630311241662233401e+00, 5.480881865512412965e+00, 8.463570088043029440e-23, 8.545766904608255388e+00
1.039108993733441544e+01, 1.077560097173918585e+01, 6.785650739138239373e+01, 3.980191667271851141e+00, 7.420199655256225491e+00, 8.254916043223239797e+00, 3.830389007577845728e-01, -6.225526310235626681e+01, 7.420199655256225491e+00, 8.254916043223239797e+00, 3.830389007577845728e-01, -6.094657256143645174e-01, 5.686550770918461062e+00, 1.562589438189532524e-22, 1.063295529877866308e+01
1.094949281355981086e+01, 1.470062520195187794e+01, 7.332551512772856483e+01, 4.194081691161211545e+00, 6.422780424740476057e+00, 1.126178508554452407e+01, 3.830389007577845728e-01, -5.579674205818826493e+01, 6.422780424740476057e+00, 1.126178508554452407e+01, 3.830389007577845728e-01, -2.913286978354105550e+00, 4.921871209107038680e+00, -1.445984942093035903e-22, 1.241866418599470201e+01
