t, x, y, z, e_y1, e_y2, e_y3, p0, p1, p2, p3, norm_P
1.701701701701701652e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.790872670090036013e-11, 1.000000000000000000e+00, 7.485417317171485030e-12, -1.307603872021153024e-01, 1.830016855182698947e-11, 9.913056027155933148e-01, 6.188647953462658740e-12, 9.998925326436701733e-01
1.801801801801801717e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.265909050318999580e-11, 1.000000000000000000e+00, 1.646996321780586852e-12, -2.289838055461556054e-01, 2.056118200435241293e-11, 9.728172589868832043e-01, 5.685233665937189591e-12, 9.994033232810225487e-01
1.901901901901901781e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.654382181435289317e-11, 1.000000000000000000e+00, -5.844334774327662033e-12, -3.249529436922534709e-01, 2.293731332376196229e-11, 9.448191219467557689e-01, 4.801356329709270039e-12, 9.991384232479999516e-01
2.002002002002001846e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.909268298527186149e-11, 1.000000000000000000e+00, -1.495832791636842458e-11, -4.177476824715942172e-01, 2.540337379710208259e-11, 9.076289594288174944e-01, 3.465871470940740084e-12, 9.991513670131397795e-01
2.102102102102102188e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.982319322915028150e-11, 1.000000000000000000e+00, -2.555534899874006860e-11, -5.064479027153629964e-01, 2.793417471141922209e-11, 8.615645392666747560e-01, 1.607634615793435688e-12, 9.993912814741718886e-01
2.202202202202202252e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.826234095547523031e-11, 1.000000000000000000e+00, -3.738826331666760730e-11, -5.901334852547450716e-01, 3.050452735375982261e-11, 8.069436292939340394e-01, -8.444987095707966887e-13, 9.997077329284687064e-01
2.302302302302302317e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.393468123134561333e-11, 1.000000000000000000e+00, -5.008370652748154474e-11, -6.679427012015396459e-01, 3.307239739157866445e-11, 7.440989132676779638e-01, -3.960690970711378632e-12, 9.999153188218233845e-01
2.402402402402402382e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.599301623836376386e-11, 1.000000000000000000e+00, -6.278104081617456862e-11, -7.398512587065178003e-01, 3.535023539583788525e-11, 6.737928980532204015e-01, -7.835970532865109612e-12, 1.000688140469635057e+00
2.502502502502502724e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.473608462488156534e-11, 1.000000000000000000e+00, -7.554641320492532824e-11, -8.034982863824638999e-01, 3.772802266056202624e-11, 5.964821026599977927e-01, -1.259334089449546830e-11, 1.000699952539845006e+00
2.602602602602602788e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.639309478040046826e-12, 1.000000000000000000e+00, -8.738265178955933811e-11, -8.586457953800886722e-01, 3.998838780005177205e-11, 5.131103076526304374e-01, -1.828009339477847030e-11, 1.000277356408352469e+00
